year,title,authors,source_url,chapters_found
1999,Critique (1946-1996),Sylvie Patron,https://hal.science/hal-00698710v1,1
2000,Aux marges de la prose,Véronique Magri-Mourgues,https://hal.science/hal-01226323v1,1
2000,Cartes Blanches,Renée Ventresque,https://hal.science/hal-03260752v1,1
2001,Internet y transgresion,Yannick Maignien,https://archivesic.ccsd.cnrs.fr/sic_00000305v1,1
2001,Le nom de Critique,Sylvie Patron,https://hal.science/hal-00698671v1,1
2002,"Les Éditions de Minuit, 1942-1955",Anne Simonin,https://hal.science/hal-00008522v1,1
2002,L'Être et le neutre. A partir de Maurice Blanchot,Jérôme de Gramont,https://hal.science/hal-04624055v1,1
2002,"« Blanchot, Maurice », p. 111-112",Roger-Michel Allemand,https://hal.science/hal-03293183v1,1
2003,Question de genre,"Catherine Soulier, Renée Ventresque",https://hal.science/hal-03329512v1,1
2003,Georges Bataille,Koichiro Hamano,https://hal.univ-lorraine.fr/tel-01776096v1,1
2005,L’oeuvre comme possibilité. Pour une étude comparée de la littérature négative,Marcos Eymar,https://shs.hal.science/halshs-01821727v1,1
2005,Lasers et Technologies Femtosecondes,"Marc Sentis, Olivier Uteza, Stéphane Mottin",https://hal.science/hal-01500944v1,1
2006,Lautréamont et l’hybridation générique dans Les Chants de Maldoror,Mathias Kusnierz,https://hal.science/hal-04554689v1,1
2007,Ecrire pour n'avoir plus de visage. Effacement et dédoublement dans l'écriture de Michel Foucault,Philippe Sabot,https://shs.hal.science/halshs-00196117v1,1
2007,Simone Weil et le poétique,Jérôme Thélot,https://univ-lyon3.hal.science/hal-00941620v1,1
2007,"Maurice Blanchot, numéro spécial",Evelyne Grossman,https://hal.science/hal-00698661v1,1
2007,Blanchot le Héros,Evelyne Grossman,https://hal.science/hal-00696933v1,1
2007,L'anthropologie négative des écrivains,Laurent Mattiussi,https://univ-lyon3.hal.science/hal-00945839v1,1
2007,W.B. ./M.B,Kader Mokaddem,https://hal.science/hal-00927266v1,1
2007,Emmanuel Levinas Maurice Blanchot,"Éric Hoppenot, Alain Milon",https://hal.science/hal-02101351v1,1
2007,Le Livre et ses espaces,"Alain Milon, Marc Perelman",https://hal.science/hal-02101454v1,1
2007,Désigner l'impensable,Laurent Mattiussi,https://univ-lyon3.hal.science/hal-00945791v1,1
2007,Les anagrammes de Blanchot,Evelyne Grossman,https://hal.science/hal-00696942v1,1
2007,Image imaginaire dans l'oeuvre de Maurice Blanchot,Kader Mokaddem,https://hal.science/hal-00927268v1,1
2007,« La fabrication de l'écriture à l'épreuve du temps »,Alain Milon,https://shs.hal.science/halshs-00151250v1,1
2008,L'angoisse de penser,Evelyne Grossman,https://hal.science/hal-00696967v1,1
2009,Maurice Blanchot,Laurent Mattiussi,https://univ-lyon3.hal.science/hal-00945354v1,1
2009,Shareholder accountability,"Geoffrey Lightfoot, Jean-Luc Moriceau",https://hal.science/hal-00441464v1,1
2009,"Maurice Blanchot, Roland Barthes, une ancienne conversation",Eric Marty,https://hal.science/hal-00699283v1,1
2009,Von Dante zu Derrida. Kabbala und Literaturtheorie,Till Kuhnle,https://unilim.hal.science/hal-00922945v1,1
2009,Le spectre des images,Sylvie Rollet,https://hal.science/hal-02735634v1,1
2009,The Name God in Blanchot,,https://doi.org/10.2307/j.ctt14bs028.11,1
2010,L'absolu entre transgression et ambiguïté dans la réflexion de Blanchot sur la littérature,Enzo Neppi,https://hal.science/hal-01068175v1,1
2010,L’espace en littérature,Tania Collani,https://hal.science/hal-02434256v1,1
