year,title,authors,source_url,chapters_found
2025,"<scp>Maurice Blanchot</scp>
            ,
            <i>Premiers récits",Bryan Counter,https://doi.org/10.3828/fs.2025.79.2.31,1
2025,Maurice Blanchot and Walter Benjamin - With Focus on the Ideas of ‘Translation’ and ‘Ultimate Language’ -,Kyou Hyun Park,https://doi.org/10.31310/hum.097.05,1
2025,"Holly Langstaff, <i>Art and Technology in Maurice Blanchot</i>",Michael Portal,https://doi.org/10.3366/drt.2025.0376,1
2025,"<scp>Jonathan Boulter</scp>
            ,
            <i>Blanchot, Ecology and Contemporary Fiction",Bryan Counter,https://doi.org/10.3828/fs.2025.79.1.41,1
2025,"<scp>Jacob McGuinn</scp>
            ,
            <i>Reading at the Limits of Poetic Form",Bryan Counter,https://doi.org/10.3828/fs.2025.79.3.40,1
2025,4 Global Life,,https://doi.org/10.1515/9781399539333-007,1
2025,Blanchot in Infinite Conversation(s) with Beckett,Arleen Ionescu,https://doi.org/10.2307/jj.29605697.8,1
2025,‘L’Absurde se nomme. Le désespoir se chante’,Marty Hiatt,https://doi.org/10.3828/fs.2025.79.3.5,1
2024,The Figure of Snow,,https://doi.org/10.2307/jj.18473031.10,1
2024,Conclusion,,https://doi.org/10.2307/jj.18473031.11,1
2024,ACKNOWLEDGMENTS,,https://doi.org/10.2307/jj.18473031.3,1
2024,INDEX,,https://doi.org/10.2307/jj.18473031.16,1
2024,BIBLIOGRAPHY,,https://doi.org/10.2307/jj.18473031.15,1
2024,Table of Contents,,https://doi.org/10.2307/jj.18473031.2,1
2024,Something in Poetry,,https://doi.org/10.2307/jj.18473031.9,1
2024,Front Matter,,https://doi.org/10.2307/jj.18473031.1,1
2024,Blanchot without Blanchot,Zakir Paul,https://doi.org/10.1215/01903659-11209644,1
2024,Gifts for No One or Anyone,Michael Portal,https://doi.org/10.3366/drt.2024.0349,1
2024,"<i>Art and Technology in Maurice Blanchot</i>
            . By Holly Langstaff
            <i>Art and Technology in Maurice Blanchot</i>
            . By LangstaffHolly. Edinburgh",Bryan Counter,https://doi.org/10.1093/fs/knae114,1
2024,Emptying the World,,https://doi.org/10.2307/jj.13524442.8,1
2024,Disastrous Materiality,,https://doi.org/10.2307/jj.18473031.7,1
2024,NOTE ON REFERENCES AND TRANSLATIONS,,https://doi.org/10.2307/jj.18473031.13,1
2024,Insomniacs,Zakir Paul,https://doi.org/10.1093/fs/knae003,1
2024,The Question of Blanchot in Beckett’s <i>Three Dialogues</i> and <i>The Unnamable</i>,Adem Berbic,https://doi.org/10.1093/res/hgae054,1
2024,Introduction,,https://doi.org/10.2307/jj.18473031.4,1
2024,Progressive Impossibility,,https://doi.org/10.2307/jj.18473031.8,1
2024,List of Abbreviations,,https://doi.org/10.2307/jj.18473031.12,1
2024,Analysis of mid-spatial frequency wavefront distortions from a liquid-cooled flash-lamp pumped Nd,"Pierre-Marie Dalbies, Sandy Cavaro, Edouard Bordenave, Nathalie Blanchot, Julien G. Moreau, Jérôme Neauport",https://doi.org/10.1017/hpl.2023.94,1
2024,After Communication,,https://doi.org/10.2307/jj.18473031.6,1
2024,NOTES,,https://doi.org/10.2307/jj.18473031.14,1
2024,Reading at the Limits of Poetic Form,Jacob McGuinn,https://doi.org/10.2307/jj.18473031,1
2024,Reading Indeterminacy,,https://doi.org/10.2307/jj.18473031.5,1
2023,Art and Technology in Maurice Blanchot,Holly Langstaff,https://doi.org/10.1515/9781399515498,1
2023,Abbreviations of Works,Maurice Blanchot,https://doi.org/10.1515/9781399515498-003,1
2023,‘But when is there literature?’,,https://doi.org/10.1515/9781399515498-010,1
2023,The History of Being,,https://doi.org/10.1515/9781399515498-011,1
2023,The Neuter,,https://doi.org/10.1515/9781399515498-018,1
2023,The Image of Impossibility Binding Literature and Phenomenology,"Alex Obrigewitsch, None None",https://doi.org/10.5840/studphaen20232310,1
2023,Bibliography,,https://doi.org/10.1515/9781399515498-022,1
2023,Care and Afterward,Simon Friedland,https://doi.org/10.1215/0041462x-10986824,1
2023,Acknowledgements (2 chapters),,https://doi.org/10.1515/9781399515498-002,2
2023,"The Power of Keratinous Matrices (Head Hair, Body Hair and Nail Clippings) Analysis in a Case of Death Involving Anabolic Agents","Laurie Gheddar, Adeline Blanchot, Alice Ameline, Nadia Arbouche, Jean-Sébastien Raul, Pascal Kintz",https://doi.org/10.1093/jat/bkac101,1
2023,Animals and Automation,,https://doi.org/10.1515/9781399515498-015,1
2023,"Blanchot, Ecology and Contemporary Fiction",Jonathan Boulter,https://doi.org/10.1515/9781474499644,1
2023,"William S. Allen, Illegibility",Niall Gildea,https://doi.org/10.1017/hgl.2023.4,1
2023,Chapter 1 Ecologies of Disaster,,https://doi.org/10.1515/9781474499644-004,1
2023,Chapter 2 Writing Extinction,,https://doi.org/10.1515/9781474499644-005,1
2023,Politics,,https://doi.org/10.1515/9781399515498-006,1
2023,"Physical Education and Sport in 『L""Écriture du désastre』 by Maurice Blanchot",Kyung-Sook Lee,https://doi.org/10.31694/pm.2023.09.31.3.009,1
2023,Nature Gone Haywire,,https://doi.org/10.1515/9781399515498-020,1
2023,Literature as Imposture,,https://doi.org/10.1515/9781399515498-009,1
2023,References,,https://doi.org/10.1515/9781474499644-010,1
2023,Literary Autonomy and Foundation,,https://doi.org/10.1515/9781399515498-008,1
2023,La technique,,https://doi.org/10.1515/9781399515498-016,1
2023,Introduction,,https://doi.org/10.1515/9781474499644-002,1
2023,Index (2 chapters),,https://doi.org/10.1515/9781474499644-011,2
2023,Series Editors’ Preface,,https://doi.org/10.1515/9781399515498-001,1
2023,Heidegger and Blanchot,Leslie Hill,https://doi.org/10.1017/9781009071789.014,1
2023,Frontmatter (2 chapters),,https://doi.org/10.1515/9781399515498-fm,2
2023,Fragmentary Writing and Technology,,https://doi.org/10.1515/9781399515498-019,1
2023,Technology,,https://doi.org/10.1515/9781399515498-005,1
2023,Testing for clomiphene in keratinous matrices (hair and nail),"Pascal Kintz, Laurie Gheddar, Adeline Blanchot, Alice Ameline, Jean-Sébastien Raul",https://doi.org/10.1093/jat/bkad050,1
2023,Death,,https://doi.org/10.1515/9781399515498-013,1
2023,Contents (2 chapters),,https://doi.org/10.1515/9781399515498-toc,2
2023,Conclusion (2 chapters),,https://doi.org/10.1515/9781399515498-021,2
2023,Chapter 5 Disaster and Apocalypse,,https://doi.org/10.1515/9781474499644-008,1
2023,Chapter 4 Posthumanism and Disaster,,https://doi.org/10.1515/9781474499644-007,1
2023,Chapter 3 Desire and Disaster,,https://doi.org/10.1515/9781474499644-006,1
2023,‘One of the most difficult but important tasks of our time’,,https://doi.org/10.1515/9781399515498-004,1
2023,Prelude,,https://doi.org/10.1515/9781474499644-003,1
2023,<i>Illegibility,Michael Holland,https://doi.org/10.1093/fs/knac225,1
2023,Wherefore An-Other Communism,"Alex Obrigewitsch, None None",https://doi.org/10.5840/symposium20232719,1
2023,Writing as techne and Modern Technology,,https://doi.org/10.1515/9781399515498-017,1
2023,A Turning,,https://doi.org/10.1515/9781399515498-014,1
2023,‘Why Poets?’,,https://doi.org/10.1515/9781399515498-012,1
2023,‘The double state of the word’,,https://doi.org/10.1515/9781399515498-007,1
2022,Georges Bataille (1897-1962) and Maurice Blanchot (1907-),R. Brandon Kershner,https://doi.org/10.1515/9780748672554-023,1
2022,2. Dream and Writing in Blanchot,,https://doi.org/10.1515/9780823293124-004,1
2022,Appendix. Blanchot in The International Review,,https://doi.org/10.1515/9780823292004-011,1
