"grouping_id","doi","year","authors","publisher","work_type","source_url","source_db","title","chapters_found"
"TITLE:5. In Lieu of a Last Word_2020","10.1515/9780823254231-007","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823254231-007","Crossref","5. In Lieu of a Last Word: Maurice Blanchot and the Future of Memory (Today)","1"
"TITLE:books by maurice blanchot, with translations into english_2020","10.1515/9780823281787-069","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-069","Crossref","books by maurice blanchot, with translations into english","1"
"TITLE:Notes_2020","10.1515/9780823269310-014","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823269310-014","Crossref","Notes","3"
"TITLE:Preface_2020","10.1515/9780823254712-002","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823254712-002","Crossref","Preface","1"
"TITLE:Prologue_2020","10.1515/9780823264605-003","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823264605-003","Crossref","Prologue","1"
"TITLE:The Name God in Blanchot_2020","10.1515/9780823237579-009","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823237579-009","Crossref","The Name God in Blanchot","1"
"TITLE:Translator’s Note_2020","10.1515/9780823264605-001","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823264605-001","Crossref","Translator’s Note","1"
"TITLE:acknowledgments_2020","10.1515/9780823281787-067","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-067","Crossref","acknowledgments","1"
"TITLE:chapter 10. Journalist, Opponent of Hitler, National- Revolutionary_2020","10.1515/9780823281787-012","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-012","Crossref","chapter 10. Journalist, Opponent of Hitler, National- Revolutionary","1"
"TITLE:Index of Names_2020","10.1515/9780823264605-008","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823264605-008","Crossref","Index of Names","1"
"TITLE:chapter 41. Are You Writing, Are You Writing Even Now?_2020","10.1515/9780823281787-043","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-043","Crossref","chapter 41. Are You Writing, Are You Writing Even Now?","1"
