year,title,authors,source_url
1998,"Transgression, Masochism and Subjectivity: the Sacrifice of Self to the (Feminized) Space of Literature in Maurice Blanchot",Donna Wilkerson,https://doi.org/10.3828/ajfs.35.2.228
1998,"REVIEWS Maurice Blanchot et le déplacement d'Orphée. By MICHELCHANTAL. Saint-Genouph, Nizet, 1997. 183 pp. Pb 130 F.",PATRICK FFRENCH,https://doi.org/10.1093/fs/lii.4.488
1998,CHAPTER 3 Blanchot: Rebuttals,,https://doi.org/10.1515/9780804765268-005
1999,"REVIEWS Blanchot Extreme Contemporary. By HILLLESLIE. (Warwick Studies in European Philosophy). London–New York, Routledge, 1997. xii + 302 pp. Hb £45.00. Pb £14.99.",IAN MACLACHLAN,https://doi.org/10.1093/fs/liii.2.234
1999,"REVIEWS Maurice Blanchot: The Demand of Writing. (Warwick Studies in European Philosophy). Edited by GILLCAROLYN BAILEY. London—New York, Routledge, 1996. xiii + 234 pp.",STEVEN JARON,https://doi.org/10.1093/fs/liii.2.233-b
1999,"Review. Maurice Blanchot. Gill, Carolyn Bailey (ed.)",S. JARON,https://doi.org/10.1093/fs/53.2.233
1999,"REVIEWS Levinas, Blanchot, Jabès: Figures of Estrangement. By MOLEGARY D.. Gainesville, University Press of Florida, 1997. xvi + 208 pp.",IAN MACLACHLAN,https://doi.org/10.1093/fs/liii.3.357
2000,The Paradoxes of Fidelity,"Lars Krishnan Iyer, None None",https://doi.org/10.5840/symposium20004216
2000,"ATTENDING TO THE EVERYDAY: BLANCHOT, LEFEBVRE, CERTEAU, PEREC",MICHAEL SHERINGHAM,https://doi.org/10.1093/fs/liv.2.187
2000,Mythe et littérature dans La Part du feu de Maurice Blanchot,Daniela Hurezanu,https://doi.org/10.1215/26885220-91.3.279
2000,Translate - Blanchot?,Peter Banki,https://doi.org/10.3366/olr.2000.013
2000,"‘A Kind of Struggle’:Blanchot, Kafka, the <i>Neutre</i>",Leslie Hill,https://doi.org/10.3366/olr.2000.007
2000,"Tranced: Melville, Blanchot",Ann Smock,https://doi.org/10.3366/olr.2000.005
2000,To Fail without Fail: Blanchot and Others,Anthony Mellors,https://doi.org/10.3366/olr.2000.012
2000,"Leslie Hill, <i>Blanchot: Extreme Contemporary</i>, London: Routledge, 1997.",Simon Stevenson,https://doi.org/10.3366/olr.2000.016
2000,The Beast of Lascaux,Maurice Blanchot,https://doi.org/10.3366/olr.2000.002
2000,Short pulse interaction experiments for fast ignitor applications,"M. BORGHESI, A.J. MACKINNON, R. GAILLARD, G. MALKA, C. VICKERS, O. WILLI, A.A. OFFENBERGER, B. CANAUD, J.L. MIQUEL, N. BLANCHOT, J.R. DAVIES, A. PUKHOV, J. MEYER-TER-VEHN",https://doi.org/10.1017/s0263034600183065
2000,"REVIEWS Politics and Literature: The Case of Maurice Blanchot. By HESSDEBORAH M.. (Currents in Comparative Romance Languages and Literatures). Bern, Peter Lang, 1999. vi + 272 pp.",LESLIE HILL,https://doi.org/10.1093/fs/liv.3.403-b
2000,The Task of Criticism Today,Maurice Blanchot,https://doi.org/10.3366/olr.2000.003
2000,"Carolyn Bailey Gill, ed., <i>Maurice Blanchot: The Demand of Writing</i> (London and New York: Routledge, 1996).Thomas Pepper, ed., <i>The Place of Maurice Blanchot: Yale French Studies</i> 93, (New Haven: Yale University Press, 1998).",Stephen Jarvis,https://doi.org/10.3366/olr.2000.015
2000,"Fragments: Blanchot, Char, Rimbaud",Herman Rapaport,https://doi.org/10.3366/olr.2000.008
2000,For Friendship,Maurice Blanchot,https://doi.org/10.3366/olr.2000.004
2000,"Gerald L. Bruns, <i>Maurice Blanchot: The Refusal of Philosophy</i> (Baltimore and London: Johns Hopkins University Press, 1997).",Alan Brown,https://doi.org/10.3366/olr.2000.014
2000,Possible suicide: Blanchot and the ownership of death,MARTIN CROWLEY,https://doi.org/10.3366/para.2000.23.2.191
2001,The Birth of Philosophy in Poetry,"Lars Iyer, None None",https://doi.org/10.5840/jh20014234
2001,1.8 'Friendship',Maurice Blanchot,https://doi.org/10.1515/9781474470919-011
2001,"Bataille, Klossowski, Blanchot",Leslie Hill,https://doi.org/10.1093/acprof:oso/9780198159711.001.0001
2001,The Inconsistency of Thought,Leslie Hill,https://doi.org/10.1093/acprof:oso/9780198159711.003.0003
2001,"Death, Writing, Neutrality",Leslie Hill,https://doi.org/10.1093/acprof:oso/9780198159711.003.0004
2001,Sacrificing Sacrifice,Leslie Hill,https://doi.org/10.1093/acprof:oso/9780198159711.003.0002
2001,Unavowable Community,Leslie Hill,https://doi.org/10.1093/acprof:oso/9780198159711.003.0001
2001,"REVIEWS The Place of Maurice Blanchot. Edited by PEPPERTHOMAS, (Yale French Studies, 93) New Haven and London, Vale University Press, 1998. 283. pp. Pb. $17.00.",MICHAEL HOI LAND,https://doi.org/10.1093/fs/lv.3.424
2001,"REVIEWS Maurice Blanchot le principe de fiction. By HURAULTMARIE-LAURE, (L'lmaginaire du texte) Saint-Denis, Presses Universitaires de Vincennes, 1999. 240. pp. 140F, €21.34.",MICHAEL HOLLAND,https://doi.org/10.1093/fs/lv.3.423
2001,EPILOGUE: Narrative and music in Kafka and Blanchot: the “singing” of Josefine,,https://doi.org/10.1017/cbo9780511485749.010
2002,Secret and Truth (On Heidegger and Blanchot),"Pascal Massie, None None",https://doi.org/10.5840/heideggercircle2002363
2002,On the Question of Authorship in Maurice Blanchot,"Joseph Suglia, None None",https://doi.org/10.5840/acpq20027622
2002,"Crossing the Line: Heidegger, Blanchot und the Lineage of Oblivion","Jason Kemp Winfree, None None",https://doi.org/10.5840/heideggercircle2002362
2002,Maurice Blanchot,Gerald Bruns,https://doi.org/10.56021/9780801854712
2002,"Review: The Delirium of Praise: Bataille, Blanchot, Deleuze, Foucault, Klossowski",Ian James,https://doi.org/10.1093/fs/56.4.553
2003,The Unbearable Trauma and Witnessing in Blanchot and Levinas,"Lars Iyer, None None",https://doi.org/10.5840/jh20036134
2003,Sulla Filosofia come Ontologia Interrogativa,"Elena Ronconi, None None",https://doi.org/10.5840/chiasmi2003540
2003,"Review: Bataille, Klossowski, Blanchot: Writing at the Limit",Paul Hegarty,https://doi.org/10.1093/fs/57.2.269
2003,38 The Writing of the Disaster,Maurice Blanchot,https://doi.org/10.1515/9781474470230-049
2003,Maurice Blanchot (1907–2003),Michael Holland,https://doi.org/10.3366/para.2003.26.3.127
2003,"The Workless Community: Blanchot, Communism, Surrealism",Lars Iyer,https://doi.org/10.3366/para.2003.26.3.51
2004,"Postdeconstructive <i>Necrophilia</i>: Grave Spaces in Aristotle, Augustine, and Blanchot and the Question of the Decision",FLOYD DUNPHY,https://doi.org/10.1215/-56-2-147
2004,"Bataille, Blanchot and the ‘Last Man’",Michael Holland,https://doi.org/10.3366/para.2004.27.1.50
2004,Maurice Blanchot,Michael Holland,https://doi.org/10.1093/fs/58.4.533
2004,"Comparatism and (Auto)thanatography: Death and Mourning in Blanchot, Derrida,and Tim Parks",Ivan Callus,https://doi.org/10.3366/ccs.2004.1.3.337
2004,"(Un)Reconstructed Space?: The Imaginary in Post-War France (Sartre, Malraux, Merleau-Ponty, Blanchot)",Douglas Smith,https://doi.org/10.3366/para.2004.27.3.68
2005,"Review: De l'attrait à la possession: Maupassant, Artaud, Blanchot",Ian Maclachlan,https://doi.org/10.1093/fs/kni041
2005,The Blessings of a Friendship: Maurice Blanchot and Levinas Studies,"Jeffrey L. Kosky, None None",https://doi.org/10.5840/levinas2005111
2005,Series Editor's Preface,,https://doi.org/10.1515/9781474465786-001
2005,Contents,,https://doi.org/10.1515/9781474465786-toc
2005,Chapter 3. The uniquely obvious: singularity in Gadamer's late essays,,https://doi.org/10.1515/9781474465786-007
2005,Introduction: a school of singularity?,,https://doi.org/10.1515/9781474465786-004
2005,Index,,https://doi.org/10.1515/9781474465786-012
2005,Chapter 5. Derrida: a pragmatics of singularity,,https://doi.org/10.1515/9781474465786-009
2005,Chapter 1. Freedoms and the institutional Americanism of literary study,,https://doi.org/10.1515/9781474465786-005
2005,Chapter 2. Heidegger's dream of singularisation,,https://doi.org/10.1515/9781474465786-006
2005,Abbreviations,,https://doi.org/10.1515/9781474465786-003
2005,Epilogue,,https://doi.org/10.1515/9781474465786-010
2005,Chapter 4. Pitching strangely: the poetic Blanchet,,https://doi.org/10.1515/9781474465786-008
2005,Frontmatter,,https://doi.org/10.1515/9781474465786-fm
2005,Acknowledgements,,https://doi.org/10.1515/9781474465786-002
2005,The Poetics of Singularity,Timothy Clark,https://doi.org/10.1515/9781474465786
2005,Notes,,https://doi.org/10.1515/9781474465786-011
2005,Conservative treatment in epithelial ovarian cancer: results of a multicentre study of the GCCLCC (Groupe des Chirurgiens de Centre de Lutte Contre le Cancer) and SFOG (Société Française d'Oncologie Gynécologique),"Philippe Morice, Eric Leblanc, Annie Rey, Marc Baron, Denis Querleu, Jérôme Blanchot, Pierre Duvillard, Catherine Lhommé, Damienne Castaigne, Jean Marc Classe, Pascal Bonnier",https://doi.org/10.1093/humrep/deh777
2005,"From the sacred conspiracy to the unavowable community: Bataille, Blanchot and Laure's
            <i>Le sacré</i>",Milo Sweedler,https://doi.org/10.1093/fs/kni213
2005,Revisiting the <i>Il y a</i>: Maurice Blanchot and Emmanuel Levinas on the Question of Subjectivity,Arthur Cools,https://doi.org/10.3366/para.2005.28.3.54
2005,Lacoue-Labarthe between Derrida and Blanchot,John Martis,https://doi.org/10.5422/fso/9780823225347.003.0008
2006,The Worklessness of Literature,"Theodore D. George, None None",https://doi.org/10.5840/philtoday200650supplement5
2006,Hölderlin and Blanchot on Self-Sacrifice (review),Simon. Thomas,https://doi.org/10.1353/ccs.2007.0016
2006,One: The Passion of Time: Au moment voulu (Nietzsche-Heidegger-Blanchot),Gabriel Riera,https://doi.org/10.5422/fso/9780823226719.003.0002
2006,Seven: The Unerasable Difference (Levinas in Blanchot),Gabriel Riera,https://doi.org/10.5422/fso/9780823226719.003.0008
2006,22. Georges Bataille (1897-1962) and Maurice Blanchot (1907-),Arkady Plotnitsky,https://doi.org/10.1515/9780748626793-023
2006,§ 11. On Blanchot,,https://doi.org/10.1515/9781503618923-012
2006,"Joseph Suglia, <i>Hölderlin and Blanchot on Self-Sacrifice</i>",Simon Thomas,https://doi.org/10.3366/ccs.2006.3.3.422
2007,A Green Blanchot: Impossible?,Timothy Clark,https://doi.org/10.1353/prg.2007.0031
2007,Ellipsis,"James Griffith, None None",https://doi.org/10.5840/gfpj200728212
2007,Blanchot in The International Review,Christopher Fynsk,https://doi.org/10.1353/prg.2007.0035
2007,"Maurice Blanchot, 1907–2003","Jean-Luc. Nancy, Leslie Hill",https://doi.org/10.1353/prg.2007.0034
2007,"Penser le neutre: Blanchot, Levinas","Laura Marin, None None",https://doi.org/10.5840/studphaen20077special43
2007,Conclusion (Postcolonial Blanchot?),,https://doi.org/10.5949/upo9781846312922.008
2007,Conclusion,,https://doi.org/10.2307/j.ctt5vjk5s.11
2007,"The Power of Contestation: Perspectives on Maurice Blanchot The Power of Contestation: Perspectives on Maurice Blanchot. Edited by K
            <scp>evin</scp>
            H
            <scp>art</scp>
            and G
            <scp>eoffrey</scp>
            H. H
            <scp>artman</scp>
            . Baltimore, MD, Johns Hopkins University Press, 2004.ix + 222 pp. Hb £35.50.",Martin Crowley,https://doi.org/10.1093/fs/knm151
2007,Responses and Interventions (1946–98),Maurice Blanchot,https://doi.org/10.3366/para.2007.30.3.5
2007,"‘Not In Our Name’: Blanchot, Politics, the Neuter",Leslie Hill,https://doi.org/10.3366/para.2007.30.3.141
2007,A Green Blanchot: Impossible?,Timothy Clark,https://doi.org/10.3366/para.2007.30.3.121
2007,Blanchot in The International Review,Christopher Fynsk,https://doi.org/10.3366/para.2007.30.3.104
2007,"Maurice Blanchot, 1907–2003",Jean-Luc Nancy,https://doi.org/10.3366/para.2007.30.3.3
2008,Weakness as a Form of Engagement: Maurice Blanchot on the Figure of the Last Man,D. Just,https://doi.org/10.1093/fmls/cqm123
2008,Dream and Writing in Blanchot,Herschel Farbman,https://doi.org/10.5422/fso/9780823228652.003.0003
2008,"""Ce mot sec et latin par surcroit"": Maurice Blanchot, Literature and Nihilism",S. Weller,https://doi.org/10.1093/fmls/cqn014
2008,"<i>Proust, Blanchot and a Woman in Red</i>. By Lydia Davis. Pp. 44. Lewes: Sylph Editions/Center for Writers and Translators at the American University in Paris, 2007. Pb. £10. <i>Proust's English</i>. By Daniel Karlin. Pp. xiii+229. Oxford: Oxford University Press, 2007. Pb. £14.99.",SIÂN REYNOLDS,https://doi.org/10.3366/e0968136108000319
2008,"The Determination of Sense via Deleuze and Blanchot: Paradoxes of the Habitual, the Immemorial, and the Eternal Return",Eugene Brently Young,https://doi.org/10.3366/e1750224108000263
2009,"Renunciation: Heidegger, Agamben, Blanchot, Vattimo",PAOLO BARTOLONI,https://doi.org/10.3366/e1744185409000597
2009,After Blanchot?,Herman Rapaport,https://doi.org/10.3366/e0264833409000583
2009,"<i>Singbarer Rest</i>: Friendship, Impossible Mourning (Celan, Blanchot, Derrida)",Ginette Michaud,https://doi.org/10.3366/e0305149809000431
