"doi","title","authors","year","publication_date","journal_name","publisher","work_type","subjects","source_url","citation_count","source_db","relation","relevance_score","relevance","authors_clean"
"","Plus un geste ! Corps distraits et rythme des images chez Chardin et Chaplin","[{'full_name': 'Hugo Martin', 'given_name': None, 'family_name': None}]","2025","","Images du travail, travail des images","","ART","[]","https://hal.science/hal-05064248v1","","HAL","","0","Needs Review","[{'full_name': 'Hugo Martin', 'given_name': None, 'family_name': None}]"
"","Entre common et commons : penser / dire / imaginer la communauté avec Raymond Williams","[{'full_name': 'Catherine Bernard', 'given_name': None, 'family_name': None}]","2025","","COnTEXTES. Revue de sociologie de la littérature,","","ART","[]","https://hal.science/hal-05003165v1","","HAL","","0","Needs Review","[{'full_name': 'Catherine Bernard', 'given_name': None, 'family_name': None}]"
"","La pulsion anarchiste comme résistance à la destruction de la biosphère","[{'full_name': 'Annie-Charlotte Giust-Ollivier', 'given_name': None, 'family_name': None}, {'full_name': 'Michel J.F. Dubois', 'given_name': None, 'family_name': None}]","2024","","Nouvelle revue de psychosociologie","","ART","[]","https://hal.science/hal-04598768v1","","HAL","","2","Core","[{'full_name': 'Annie-Charlotte Giust-Ollivier', 'given_name': None, 'family_name': None}, {'full_name': 'Michel J.F. Dubois', 'given_name': None, 'family_name': None}]"
"","Antonin Artaud et la philosophie : l'expérience vécue de la pensée","[{'full_name': 'Gigla Gonashvili', 'given_name': None, 'family_name': None}]","2024","","","","THESE","[]","https://theses.hal.science/tel-05168077v1","","HAL","","0","Needs Review","[{'full_name': 'Gigla Gonashvili', 'given_name': None, 'family_name': None}]"
"","Assécher Perec ?' : poétiques du quotidien chez Anne-James Chaton","[{'full_name': 'Anne-Christine Royère', 'given_name': None, 'family_name': None}, {'full_name': 'Gaëlle Theval', 'given_name': None, 'family_name': None}]","2024","","","","COUV","[]","https://hal.science/hal-04597063v1","","HAL","","0","Needs Review","[{'full_name': 'Anne-Christine Royère', 'given_name': None, 'family_name': None}, {'full_name': 'Gaëlle Theval', 'given_name': None, 'family_name': None}]"
"","Anne-Marie Albiach","[{'full_name': 'Serge Linarès', 'given_name': None, 'family_name': None}, {'full_name': 'Anne-Christine Royère', 'given_name': None, 'family_name': None}]","2024","","Europe. Revue littéraire mensuelle","","ISSUE","[]","https://hal.science/hal-04478930v1","","HAL","","0","Needs Review","[{'full_name': 'Serge Linarès', 'given_name': None, 'family_name': None}, {'full_name': 'Anne-Christine Royère', 'given_name': None, 'family_name': None}]"
"","Faire œuvre du quotidien : Enjeux poétiques et politiques de figuration chez Annie Ernaux et Chantal Akerman","[{'full_name': 'Fanny Cardin', 'given_name': None, 'family_name': None}]","2024","","","","THESE","[]","https://hal.science/tel-04974868v1","","HAL","","0","Needs Review","[{'full_name': 'Fanny Cardin', 'given_name': None, 'family_name': None}]"
"","Les Figures de la mort et la création littéraire chez Maurice Blanchot","[{'full_name': 'Tzu-Chun King', 'given_name': None, 'family_name': None}]","2024","","","","THESE","[]","https://theses.hal.science/tel-04551250v1","","HAL","","3","Core","[{'full_name': 'Tzu-Chun King', 'given_name': None, 'family_name': None}]"
"","Le dérobement de la loi : littérature et liberté chez Maurice Blanchot","[{'full_name': 'Amanda Olivares Valencia', 'given_name': None, 'family_name': None}]","2024","","","","THESE","[]","https://theses.hal.science/tel-04552387v1","","HAL","","3","Core","[{'full_name': 'Amanda Olivares Valencia', 'given_name': None, 'family_name': None}]"
"","Entrées de dictionnaire : Album, Barthes (Henriette), Bêtise, Blanchot, Camus (Renaud), Claudel, CNRS, Dialectique, Le Discours amoureux, Dort, Écrits sur le théâtre, Érotisme/Pornographie, Fichier, Fragment, Fragments d’un discours amoureux, Gide, Guyotat, Kristeva, Mallarmé, Objet, Œuvres complètes, Photographes commentés par Barthes, Poésie, Politique, Réception française, Religion, Roman, Romantisme, Sade-Fourier-Loyola, Sarduy, Sartre, Sciences/Techniques, « Soirées de Paris », Wahl","[{'full_name': 'Claude Coste', 'given_name': None, 'family_name': None}]","2024","","","","NOTICE","[]","https://hal.science/hal-04724150v1","","HAL","","3","Core","[{'full_name': 'Claude Coste', 'given_name': None, 'family_name': None}]"
"","Études juives françaises","[{'full_name': 'Justine Brisson', 'given_name': None, 'family_name': None}, {'full_name': 'Maxime Berges', 'given_name': None, 'family_name': None}]","2024","","Acta fabula : Revue des parutions pour les études littéraires","","ISSUE","[]","https://hal.science/hal-04619967v1","","HAL","","0","Needs Review","[{'full_name': 'Justine Brisson', 'given_name': None, 'family_name': None}, {'full_name': 'Maxime Berges', 'given_name': None, 'family_name': None}]"
"","« DES VIES QUI N'ONT PAS EU LIEU » ENTRETIEN AVEC MARCEL COHEN","[{'full_name': 'Maxime Decout', 'given_name': None, 'family_name': None}]","2023","","Europe. Revue littéraire mensuelle","","ART","[]","https://hal.science/hal-03953011v1","","HAL","","0","Needs Review","[{'full_name': 'Maxime Decout', 'given_name': None, 'family_name': None}]"
"","La marionnette contemporaine et l'onirisme : le songe réveille","[{'full_name': 'Maria Luchankina', 'given_name': None, 'family_name': None}]","2023","","","","THESE","[]","https://theses.hal.science/tel-04691951v1","","HAL","","0","Needs Review","[{'full_name': 'Maria Luchankina', 'given_name': None, 'family_name': None}]"
"","L'humanisme du cri : de l'absence de l'humain à l'humain absent dans le malheur et le nihilisme","[{'full_name': 'Mayara Dionizio', 'given_name': None, 'family_name': None}]","2023","","Revista Dialectus - Revista de Filosofia","","ART","[]","https://u-picardie.hal.science/hal-04368579v1","","HAL","","0","Needs Review","[{'full_name': 'Mayara Dionizio', 'given_name': None, 'family_name': None}]"
"","À plusieurs titres : compte-rendu du livre : Maurice Blanchot, Thomas le solitaire, éd. Leslie Hill et Philippe Lynes, Paris, Kimé, coll. « Corpus Blanchot », 2022, 282 p., EAN 9782380720716","[{'full_name': 'Christophe Bident', 'given_name': None, 'family_name': None}]","2023","","","","BLOG","[]","https://u-picardie.hal.science/hal-04436656v1","","HAL","","5","Core","[{'full_name': 'Christophe Bident', 'given_name': None, 'family_name': None}]"
"","Bonnefoy - de Platon à Blanchot et retour","[{'full_name': 'Jérôme de Gramont', 'given_name': None, 'family_name': None}]","2023","","","","COUV","[]","https://hal.science/hal-04624010v1","","HAL","","3","Core","[{'full_name': 'Jérôme de Gramont', 'given_name': None, 'family_name': None}]"
